,Cutstate
0,[48]
1,[50]
2,[48]
3,[50]
4,[53]
5,[44]
6,[51]
7,[38]
8,[61]
9,[25]
10,[55]
11,[60]
12,[38]
13,[38]
14,[56]
15,[55]
16,[56]
17,[57]
18,[47]
19,[38]
20,[74]
21,[54]
22,[51]
23,[45]
24,[62]
