,Cutstate
0,[30]
1,[59]
2,[47]
3,[68]
4,[49]
5,[39]
6,[59]
7,[52]
8,[54]
9,[50]
10,[55]
11,[63]
12,[42]
13,[53]
14,[35]
15,[60]
16,[51]
17,[48]
18,[62]
19,[28]
20,[67]
21,[60]
22,[38]
23,[46]
24,[55]
