,Cutstate
0,[36]
1,[69]
2,[57]
3,[64]
4,[56]
5,[59]
6,[53]
7,[46]
8,[45]
9,[62]
10,[50]
11,[41]
12,[50]
13,[61]
14,[32]
15,[51]
16,[62]
17,[56]
18,[44]
19,[70]
20,[37]
21,[65]
22,[58]
23,[54]
24,[53]
